ID_Pedido,Data,ID_Cliente,Produto,Categoria,Preco_Unitario,Quantidade,Desconto_Percentual,Valor_Total,Metodo_Pagamento,Estado,Status_Pedido
PED-10000,2023-01-01,CLI-7499,Headphone Bluetooth,Periféricos,231.32,1,5,219.75,PIX,GO,Entregue
PED-10001,2023-01-02,CLI-6347,Smartphone Galaxy X,Periféricos,1480.33,4,20,4737.06,Cartão de Débito,SC,Entregue
PED-10002,2023-01-03,CLI-1485,Caixa de Som Wireless,Armazenamento,509.17,2,0,1018.34,PIX,RS,Entregue
PED-10003,2023-01-04,CLI-5478,Smartwatch,Computadores,347.51,1,15,295.38,Boleto,DF,Em Processamento
PED-10004,2023-01-05,CLI-8381,Smartwatch,Armazenamento,337.82,1,0,337.82,PIX,PR,Entregue
PED-10005,2023-01-06,CLI-9038,Tablet Ultra,Smartphones,192.93,1,0,192.93,Cartão de Crédito,PR,Entregue
PED-10006,2023-01-07,CLI-4737,Headphone Bluetooth,TVs e Áudio,243.83,1,0,243.83,Boleto,MG,Cancelado
PED-10007,2023-01-08,CLI-6829,SSD 1TB,Fotografia,653.26,3,20,1567.82,PayPal,PE,Em Processamento
PED-10008,2023-01-09,CLI-7150,"Smart TV 50""",Armazenamento,3736.74,2,0,7473.48,PIX,MG,Cancelado
PED-10009,2023-01-10,CLI-8075,HDD Externo 4TB,Armazenamento,587.34,2,0,1174.68,Boleto,PE,Entregue
PED-10010,2023-01-11,CLI-4043,Hub USB-C,Fotografia,656.48,1,10,590.83,Cartão de Crédito,AM,Entregue
PED-10011,2023-01-12,CLI-7227,Notebook Pro 15,TVs e Áudio,2947.67,4,15,10022.08,Cartão de Crédito,DF,Entregue
PED-10012,2023-01-13,CLI-2404,Smartphone Galaxy X,Smartphones,1439.91,2,0,2879.82,PIX,RS,Cancelado
PED-10013,2023-01-14,CLI-5839,"Smart TV 50""",Periféricos,3554.02,1,10,3198.62,Boleto,BA,Enviado
PED-10014,2023-01-15,CLI-5037,Câmera DSLR,Periféricos,1959.63,1,10,1763.67,PayPal,AM,Entregue
PED-10015,2023-01-16,CLI-2204,Smartwatch,Computadores,336.51,1,0,336.51,Cartão de Débito,CE,Entregue
PED-10016,2023-01-17,CLI-2344,Power Bank,Armazenamento,451.72,1,20,361.38,Cartão de Crédito,PE,Entregue
PED-10017,2023-01-18,CLI-5390,Roteador WiFi 6,TVs e Áudio,100.87,1,0,100.87,Cartão de Débito,PA,Em Processamento
PED-10018,2023-01-19,CLI-3526,Smartphone Galaxy X,Computadores,1560.07,1,0,1560.07,PayPal,CE,Devolvido
PED-10019,2023-01-20,CLI-7225,SSD 1TB,Periféricos,645.28,1,15,548.49,PIX,PA,Entregue
PED-10020,2023-01-21,CLI-3527,Câmera DSLR,Computadores,2085.01,2,20,3336.02,Cartão de Crédito,GO,Entregue
PED-10021,2023-01-22,CLI-7383,SSD 1TB,Computadores,672.46,1,15,571.59,Cartão de Débito,PR,Entregue
PED-10022,2023-01-23,CLI-6188,Hub USB-C,Smartphones,668.2,1,20,534.56,Cartão de Crédito,PA,Cancelado
PED-10023,2023-01-24,CLI-6909,Smartwatch,Smartphones,337.17,1,0,337.17,Cartão de Débito,PR,Em Processamento
PED-10024,2023-01-25,CLI-2745,Carregador Rápido,Computadores,311.34,1,0,311.34,Boleto,GO,Em Processamento
PED-10025,2023-01-26,CLI-2499,HDD Externo 4TB,Acessórios,602.36,2,0,1204.72,Boleto,PA,Entregue
PED-10026,2023-01-27,CLI-1085,Caixa de Som Wireless,Fotografia,495.33,1,0,495.33,PIX,DF,Entregue
PED-10027,2023-01-28,CLI-6050,Smartphone Galaxy X,Periféricos,1532.23,1,0,1532.23,PayPal,PA,Entregue
PED-10028,2023-01-29,CLI-8286,Console GameStation 5,Periféricos,2085.12,1,0,2085.12,Cartão de Crédito,RJ,Entregue
PED-10029,2023-01-30,CLI-6896,Hub USB-C,Smartphones,635.96,1,0,635.96,PayPal,CE,Enviado
PED-10030,2023-01-31,CLI-5419,Teclado Mecânico,Acessórios,566.88,2,10,1020.38,Cartão de Débito,PE,Em Processamento
PED-10031,2023-02-01,CLI-2674,Caixa de Som Wireless,Acessórios,503.5,1,0,503.5,PIX,CE,Devolvido
PED-10032,2023-02-02,CLI-3170,Tablet Ultra,Armazenamento,200.29,1,20,160.23,Boleto,AM,Devolvido
PED-10033,2023-02-03,CLI-2430,Câmera DSLR,Fotografia,1913.53,3,20,4592.47,Boleto,RS,Entregue
PED-10034,2023-02-04,CLI-4070,Teclado Mecânico,Computadores,553.54,4,15,1882.04,PIX,RJ,Em Processamento
PED-10035,2023-02-05,CLI-8061,Headphone Bluetooth,Armazenamento,235.33,2,0,470.66,Cartão de Crédito,DF,Cancelado
PED-10036,2023-02-06,CLI-8353,"Smart TV 50""",Armazenamento,3639.22,1,0,3639.22,PayPal,RJ,Em Processamento
PED-10037,2023-02-07,CLI-9395,Fone de Ouvido TWS,Acessórios,496.93,1,20,397.54,Cartão de Débito,SP,Entregue
PED-10038,2023-02-08,CLI-7685,Headphone Bluetooth,Acessórios,235.25,2,15,399.93,PayPal,CE,Entregue
PED-10039,2023-02-09,CLI-2692,Mouse Gamer,Acessórios,465.12,1,5,441.86,Boleto,CE,Entregue
PED-10040,2023-02-10,CLI-1430,Mouse Gamer,Computadores,446.62,1,5,424.29,PIX,PR,Cancelado
PED-10041,2023-02-11,CLI-2468,Roteador WiFi 6,Computadores,100.71,1,20,80.57,Boleto,DF,Entregue
PED-10042,2023-02-12,CLI-6798,Caixa de Som Wireless,Armazenamento,512.38,1,10,461.14,Boleto,CE,Entregue
PED-10043,2023-02-13,CLI-2524,Notebook Pro 15,Armazenamento,3092.18,3,20,7421.23,Cartão de Débito,MG,Entregue
PED-10044,2023-02-14,CLI-6315,Carregador Rápido,Smartphones,324.87,1,10,292.38,Cartão de Crédito,MG,Entregue
PED-10045,2023-02-15,CLI-7311,SSD 1TB,Periféricos,628.59,2,5,1194.32,Cartão de Crédito,RS,Entregue
PED-10046,2023-02-16,CLI-1202,Headphone Bluetooth,Periféricos,235.09,1,15,199.83,Cartão de Débito,CE,Entregue
PED-10047,2023-02-17,CLI-5781,Fone de Ouvido TWS,Periféricos,502.33,1,10,452.1,PIX,PE,Entregue
PED-10048,2023-02-18,CLI-7779,"Smart TV 50""",Smartphones,3544.05,1,15,3012.44,PayPal,RJ,Entregue
PED-10049,2023-02-19,CLI-7353,SSD 1TB,Periféricos,641.4,1,15,545.19,PIX,GO,Em Processamento
PED-10050,2023-02-20,CLI-2387,"Monitor 27""",Acessórios,682.3,4,10,2456.28,PayPal,PR,Entregue
PED-10051,2023-02-21,CLI-4977,Roteador WiFi 6,Computadores,97.94,2,0,195.88,Cartão de Crédito,AM,Enviado
