ID_Pedido,Data_Envio,Produto,Categoria,Peso_KG,Origem,Destino,Distancia_KM,Transportadora,Metodo_Envio,Custo_Frete,Custo_Operacional_Total,Tempo_Entrega_Previsto_Dias,Status,Dias_Atraso,Avaliacao_Cliente
PED-20000,2023-01-01,Produto A,Categoria 1,20.71,CD Belo Horizonte,Manaus,1213,Transportadora B,Expresso,27.94,40.22,5,Entregue,0,5.0
PED-20001,2023-01-02,Produto F,Categoria 3,61.82,CD Belo Horizonte,Curitiba,288,Transportadora C,Padrão,33.09,53.08,4,Entregue,0,4.0
PED-20002,2023-01-03,Produto G,Categoria 1,95.47,CD São Paulo,Manaus,269,Transportadora B,Econômico,42.25,72.24,3,Entregue,0,4.0
PED-20003,2023-01-04,Produto G,Categoria 4,9.57,CD Rio de Janeiro,Manaus,602,Transportadora D,Expresso,12.43,18.31,5,Entregue,0,4.0
PED-20004,2023-01-05,Produto F,Categoria 2,74.18,CD São Paulo,Curitiba,1583,Transportadora C,Padrão,58.85,89.02,6,Entregue,0,5.0
PED-20005,2023-01-06,Produto I,Categoria 4,97.88,CD Rio de Janeiro,Curitiba,1801,Transportadora C,Premium,59.49,97.86,4,Entregue,0,5.0
PED-20006,2023-01-07,Produto I,Categoria 3,27.34,CD São Paulo,Brasília,1565,Transportadora A,Padrão,20.4,36.43,6,Entregue,0,4.0
PED-20007,2023-01-08,Produto D,Categoria 1,48.88,CD Curitiba,Manaus,1392,Transportadora B,Padrão,43.1,64.72,5,Entregue,0,5.0
PED-20008,2023-01-09,Produto D,Categoria 4,10.02,CD São Paulo,Brasília,1988,Transportadora C,Expresso,25.56,38.51,6,Entregue,0,5.0
PED-20009,2023-01-10,Produto J,Categoria 2,84.62,CD Recife,São Paulo,292,Transportadora D,Padrão,52.37,79.22,3,Entregue,0,5.0
PED-20010,2023-01-11,Produto I,Categoria 1,22.49,CD São Paulo,Recife,1031,Transportadora C,Econômico,22.76,34.66,5,Entregue,0,5.0
PED-20011,2023-01-12,Produto H,Categoria 3,46.22,CD Curitiba,Porto Alegre,877,Transportadora A,Econômico,29.77,48.02,3,Atrasado,3,3.0
PED-20012,2023-01-13,Produto E,Categoria 3,16.98,CD Recife,Rio de Janeiro,1634,Transportadora B,Premium,27.82,41.08,6,Atrasado,5,3.0
PED-20013,2023-01-14,Produto B,Categoria 1,17.77,CD São Paulo,Fortaleza,790,Transportadora A,Padrão,21.03,30.31,5,Em Trânsito,0,
PED-20014,2023-01-15,Produto B,Categoria 4,22.42,CD Rio de Janeiro,Belo Horizonte,594,Transportadora B,Padrão,23.48,33.18,4,Entregue,0,4.0
PED-20015,2023-01-16,Produto D,Categoria 3,11.18,CD São Paulo,Manaus,1336,Transportadora D,Expresso,10.01,20.04,4,Em Trânsito,0,
PED-20016,2023-01-17,Produto C,Categoria 1,24.26,CD Recife,Recife,12,Transportadora B,Padrão,5.85,13.19,1,Em Trânsito,0,
PED-20017,2023-01-18,Produto F,Categoria 4,31.2,CD Recife,Rio de Janeiro,761,Transportadora D,Padrão,30.73,43.9,3,Em Trânsito,0,
PED-20018,2023-01-19,Produto H,Categoria 4,58.17,CD São Paulo,Porto Alegre,734,Transportadora A,Padrão,42.4,63.52,4,Entregue,0,5.0
PED-20019,2023-01-20,Produto J,Categoria 2,60.17,CD São Paulo,Brasília,1231,Transportadora D,Padrão,37.2,61.41,5,Entregue,0,5.0
PED-20020,2023-01-21,Produto H,Categoria 4,38.98,CD Curitiba,Brasília,1691,Transportadora A,Padrão,27.42,47.57,4,Em Trânsito,0,
PED-20021,2023-01-22,Produto A,Categoria 3,21.73,CD Recife,Manaus,1541,Transportadora A,Econômico,33.44,47.66,4,Entregue,0,5.0
PED-20022,2023-01-23,Produto G,Categoria 2,10.49,CD Curitiba,Salvador,1850,Transportadora C,Econômico,24.62,37.02,7,Entregue,0,5.0
