ID_Funcionario,Nome,Idade,Genero,Departamento,Cargo,Nivel,Tempo_Empresa_Meses,Salario,Performance,Satisfacao,Ausencias_Anuais,Treinamentos_Completados,Local_Trabalho,Turnover
EMP-1000,Funcionário 1,22,Masculino,Financeiro,Assistente Financeiro,Junior,88,4996.29,4,4,6,6,Remoto,True
EMP-1001,Funcionário 2,26,Masculino,Vendas,Vendedor Pleno,Pleno,114,8417.72,4,8,1,8,Remoto,True
EMP-1002,Funcionário 3,43,Feminino,Operações,COO,Diretoria,44,25776.11,2,2,12,1,Presencial,True
EMP-1003,Funcionário 4,44,Masculino,P&D,Gerente de P&D,Gerência,41,13368.14,5,8,9,8,Presencial,False
EMP-1004,Funcionário 5,46,Feminino,Administrativo,Gerente Administrativo,Gerência,105,17685.49,5,7,8,7,Remoto,True
EMP-1005,Funcionário 6,30,Masculino,Marketing,Analista de Marketing Jr,Junior,31,4034.56,3,4,11,5,Presencial,False
EMP-1006,Funcionário 7,40,Feminino,P&D,Gerente de P&D,Gerência,47,13506.68,4,8,8,3,Híbrido,False
EMP-1007,Funcionário 8,31,Feminino,Vendas,Vendedor Pleno,Pleno,86,7384.45,3,6,10,2,Presencial,False
EMP-1008,Funcionário 9,35,Masculino,Administrativo,Analista Administrativo,Pleno,52,6456.47,5,9,5,5,Remoto,False
EMP-1009,Funcionário 10,25,Masculino,RH,Analista de RH,Pleno,49,6230.73,4,6,13,5,Híbrido,False
EMP-1010,Funcionário 11,37,Masculino,Vendas,Vendedor Sr,Sênior,79,11591.21,4,5,6,3,Presencial,False
EMP-1011,Funcionário 12,49,Feminino,Financeiro,Controller,Diretoria,8,22147.31,3,4,8,3,Remoto,False
EMP-1012,Funcionário 13,36,Feminino,Marketing,Gerente de Marketing,Gerência,46,14001.03,5,9,9,7,Presencial,False
EMP-1013,Funcionário 14,33,Feminino,RH,Analista de RH,Pleno,112,7979.64,4,7,7,8,Remoto,False
EMP-1014,Funcionário 15,44,Masculino,TI,Gerente de TI,Gerência,43,14800.37,4,5,11,8,Remoto,True
EMP-1015,Funcionário 16,49,Masculino,Financeiro,Gerente Financeiro,Gerência,104,16972.63,3,6,11,2,Remoto,False
EMP-1016,Funcionário 17,34,Masculino,Administrativo,Coordenador Administrativo,Sênior,13,8330.2,4,5,12,6,Remoto,False
EMP-1017,Funcionário 18,58,Masculino,P&D,Diretor de P&D,Diretoria,1,19999.01,3,4,10,2,Híbrido,True
EMP-1018,Funcionário 19,32,Feminino,Marketing,Analista de Marketing Pleno,Pleno,59,6846.55,5,6,9,5,Presencial,False
EMP-1019,Funcionário 20,50,Feminino,RH,Diretor de RH,Diretoria,112,29095.09,5,7,9,8,Presencial,False
EMP-1020,Funcionário 21,56,Feminino,TI,CTO,Diretoria,90,29235.79,4,5,10,8,Híbrido,False
